-0.214824,0.662756,-1
-0.061569,-0.091875,1
0.406933,0.648055,-1
0.223650,0.130142,1
0.231317,0.766906,-1
-0.748800,-0.531637,-1
-0.557789,0.375797,-1
0.207123,-0.019463,1
0.286462,0.719470,-1
0.195300,-0.179039,1
-0.152696,-0.153030,1
0.384471,0.653336,-1
-0.117280,-0.153217,1
-0.238076,0.000583,1
-0.413576,0.145681,1
0.490767,-0.680029,-1
0.199894,-0.199381,1
-0.356048,0.537960,-1
-0.392868,-0.125261,1
0.353588,-0.070617,1
0.020984,0.925720,-1
-0.475167,-0.346247,-1
0.074952,0.042783,1
0.394164,-0.058217,1
0.663418,0.436525,-1
0.402158,0.577744,-1
-0.449349,-0.038074,1
0.619080,-0.088188,-1
0.268066,-0.071621,1
-0.015165,0.359326,1
0.539368,-0.374972,-1
-0.319153,0.629673,-1
0.694424,0.641180,-1
0.079522,0.193198,1
0.253289,-0.285861,1
-0.035558,-0.010086,1
-0.403483,0.474466,-1
-0.034312,0.995685,-1
-0.590657,0.438051,-1
-0.098871,-0.023953,1
-0.250001,0.141621,1
-0.012998,0.525985,-1
0.153738,0.491531,-1
0.388215,-0.656567,-1
0.049008,0.013499,1
0.068286,0.392741,1
0.747800,-0.066630,-1
0.004621,-0.042932,1
-0.701600,0.190983,-1
0.055413,-0.024380,1
0.035398,-0.333682,1
0.211795,0.024689,1
-0.045677,0.172907,1
0.595222,0.209570,-1
0.229465,0.250409,1
-0.089293,0.068198,1
0.384300,-0.176570,1
0.834912,-0.110321,-1
-0.307768,0.503038,-1
-0.777063,-0.348066,-1
