【,1138
岁,1595
时,981
父亲,874
踹,746
成,409
瘫痪,374
残疾,376
小伙,747
贴膜,916
年,1746
终于,441
买房,372
】,1135
河南,390
南阳,805
夏西伟以,372
三轮车,372
腿,376
为生,431
那年,922
喝醉酒,373
母亲,518
吵架,377
一脚,373
后腰,373
高位,373
截瘫,373
22,379
夏西伟,487
前往,379
乞讨,1118
2008,680
汶川,2405
地震,2961
白天,375
得来,373
30,381
块钱,434
捐给,379
灾区,466
自此,372
下定决心,374
​,1503
收起,859
全文,873
d,860
只,206
说,852
人,1434
感动,248
L,833
秒,658
拍,923
视频,950
记得,203
新闻,264
最,221
中国,255
却,211
笑,207
十年,249
四川,211
中,734
曾,345
生活,225
10,257
好,594
钱,219
乌龟,301
妈妈,288
朋友,558
发动,203
微博,221
月,605
日,566
老师,276
救,202
东西,245
做,402
世界,294
之谜,389
人生,260
变,283
里,279
孩子,662
映秀,390
好人,388
真的,243
庆幸,213
68,260
杨云青,370
天,353
12,703
救回,237
妻子,297
时间,287
救出,368
中心,228
死,288
怀孕,269
女性,274
不到,239
一点,236
永远,305
捉,208
c,311
分娩,201
纽西,385
69,215
隔离,518
灀,211
领卷,211
氺,306
,312
